                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0798,                  4.034,                 3.8161,                0.00746,                0.20652,                0.00546,                0.00205,                 2.6323,                 4.1617,                  3.621,             0.00055311,             0.00055311,             0.00055311
                      2,                 2.6604,                 3.3335,                  3.222,                0.56786,                0.18116,                0.08322,                0.02478,                 2.2718,                 3.3471,                 2.9259,              0.0010978,              0.0010978,              0.0010978
                      3,                  2.468,                 3.0054,                 3.0151,                0.12009,                0.14855,                0.06329,                0.02065,                 2.2748,                 2.9662,                 2.8194,              0.0016315,              0.0016315,              0.0016315
                      4,                 2.4218,                 2.8561,                 2.9096,                0.17295,                 0.2971,                0.12336,                0.03705,                 2.2179,                 2.6579,                 2.8372,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.3453,                  2.753,                 2.8236,                0.32382,                0.31159,                0.19297,                0.07379,                 2.1763,                 2.4299,                 2.7366,              0.0016175,              0.0016175,              0.0016175
                      6,                 2.2539,                 2.5549,                 2.7483,                0.26341,                0.32971,                0.20748,                0.08107,                 2.2191,                 2.4652,                 2.7643,               0.001601,               0.001601,               0.001601
                      7,                  2.238,                 2.5209,                 2.7358,                0.27307,                0.42967,                0.29425,                0.09532,                 2.1293,                  2.499,                 2.7065,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.1585,                 2.4773,                 2.6837,                0.34725,                0.32524,                0.23032,                0.07293,                 2.1299,                 2.5917,                 2.7267,               0.001568,               0.001568,               0.001568
                      9,                  2.108,                 2.3778,                 2.6028,                0.40967,                0.38406,                 0.3372,                0.12949,                  2.027,                 2.8358,                 2.6586,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.0616,                 2.3136,                 2.5706,                0.39476,                0.52536,                0.39178,                0.16333,                  1.972,                 2.0659,                 2.5653,               0.001535,               0.001535,               0.001535
                     11,                 1.9731,                 2.2066,                 2.4986,                0.37552,                0.46739,                0.40041,                0.15811,                 2.0032,                  2.043,                 2.5359,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.9348,                 2.1486,                 2.4949,                0.51064,                  0.519,                0.46641,                0.16833,                 2.0229,                  2.427,                 2.6886,               0.001502,               0.001502,               0.001502
                     13,                  1.962,                 2.1605,                 2.4673,                0.60246,                0.42029,                0.40748,                0.15813,                 2.0373,                 2.4136,                 2.6935,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.9091,                 2.0662,                 2.4389,                0.52417,                0.59058,                0.51232,                0.21205,                 1.9459,                 1.7406,                 2.5679,               0.001469,               0.001469,               0.001469
                     15,                 1.8488,                 2.0076,                 2.3857,                0.43716,                0.58938,                0.42346,                0.17757,                 2.0221,                 1.9747,                  2.667,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8575,                 1.9978,                 2.3715,                0.41721,                0.54771,                0.44027,                0.19209,                 1.8413,                 1.7765,                 2.4664,               0.001436,               0.001436,               0.001436
                     17,                 1.7979,                 1.9765,                 2.3637,                0.47251,                 0.6037,                0.48271,                0.22911,                  1.796,                 1.7077,                 2.5047,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.8311,                 1.9222,                 2.3508,                0.51362,                0.59744,                0.55344,                0.22555,                 1.9115,                 1.7305,                 2.5193,              0.0014029,              0.0014029,              0.0014029
                     19,                  1.755,                 1.8583,                 2.2932,                0.60566,                0.46377,                0.47347,                0.20969,                 1.9286,                 1.8729,                 2.5796,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7534,                 1.8318,                 2.2993,                0.44499,                 0.6087,                0.48481,                0.21015,                 1.9727,                 1.7426,                    2.6,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7573,                  1.861,                 2.2878,                0.62378,                0.52899,                 0.5485,                0.25891,                 1.9058,                 1.7696,                  2.521,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.7452,                 1.8337,                 2.2746,                0.56828,                0.61966,                0.57247,                 0.2469,                 1.9248,                 1.6825,                 2.5566,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.7008,                 1.8223,                 2.2312,                0.61446,                0.59452,                0.56704,                0.24954,                 1.9293,                 1.6416,                 2.5246,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.7033,                 1.7897,                 2.2474,                0.59014,                0.65942,                0.62323,                0.27827,                 1.8008,                 1.5484,                 2.4134,              0.0013039,              0.0013039,              0.0013039
                     25,                  1.668,                 1.7247,                 2.1849,                0.49171,                0.67423,                0.58494,                0.26098,                 1.8465,                 1.6028,                 2.5206,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.6789,                 1.7331,                 2.2083,                0.59124,                0.64855,                0.59393,                0.26014,                 1.8816,                 1.6721,                 2.4967,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.6699,                 1.6989,                 2.1886,                0.72198,                0.56857,                0.63024,                0.29555,                 1.8685,                 1.6533,                 2.4731,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.7176,                 1.7219,                 2.2395,                0.60294,                0.60749,                  0.596,                0.25875,                 2.0084,                 1.5916,                 2.6417,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.6264,                 1.6946,                 2.1881,                0.62728,                0.61957,                0.59309,                0.28491,                 1.7421,                 1.6285,                 2.3966,              0.0012214,              0.0012214,              0.0012214
                     30,                  1.638,                 1.6316,                 2.1519,                 0.6927,                0.58333,                0.66976,                0.30896,                 1.8289,                 1.4854,                 2.5039,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.6483,                 1.6781,                 2.1802,                0.62809,                0.62681,                0.62623,                0.29793,                 1.8109,                   1.56,                 2.4306,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.6266,                 1.6753,                 2.1536,                0.60961,                0.69565,                0.71264,                0.28361,                 1.9573,                 1.4128,                  2.584,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.6289,                 1.6508,                 2.1647,                0.77987,                0.62451,                0.70168,                0.31038,                 1.8268,                 1.5178,                 2.4724,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.6116,                 1.6401,                  2.128,                0.60164,                 0.7029,                0.64156,                0.27934,                 1.8664,                 1.6416,                 2.5168,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.5846,                 1.5884,                 2.1442,                0.57823,                0.68478,                0.65226,                 0.3055,                 1.7711,                  1.491,                 2.3882,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.5912,                 1.5521,                 2.1358,                0.61434,                0.71058,                0.69191,                0.31702,                 1.8791,                 1.4378,                 2.5593,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.5487,                 1.5122,                 2.0486,                 0.6414,                0.67115,                  0.706,                0.33586,                 1.8128,                 1.3843,                 2.4546,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5524,                 1.5272,                 2.0894,                0.67281,                0.68743,                0.72794,                 0.3375,                 1.8001,                 1.3817,                 2.4544,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.5604,                 1.4826,                 2.0951,                0.70761,                0.65768,                0.74032,                0.33211,                 1.8708,                 1.3909,                  2.528,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.5418,                 1.5015,                 2.0694,                0.72682,                 0.6912,                0.70244,                0.33687,                 1.8028,                 1.3963,                 2.4826,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5068,                 1.4837,                 2.0652,                  0.763,                0.68061,                0.74868,                0.36846,                 1.9077,                 1.3943,                 2.5396,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.5305,                 1.4807,                 2.0531,                0.59671,                0.71377,                0.69842,                0.33107,                 1.8023,                 1.3894,                 2.4405,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.4985,                 1.4295,                 2.0336,                0.81463,                0.57351,                0.74423,                0.36363,                 1.8122,                 1.3701,                 2.4851,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.5085,                  1.442,                 2.0626,                0.70048,                0.69203,                0.72771,                0.33976,                 1.8021,                 1.3508,                 2.4672,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.5275,                 1.4136,                 2.0627,                0.71249,                0.71365,                0.75259,                0.37989,                 1.7847,                 1.2784,                 2.4318,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.5002,                  1.353,                 2.0097,                0.70589,                0.71538,                0.76921,                0.38372,                 1.8006,                 1.3372,                 2.4419,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.4794,                  1.371,                 2.0019,                0.69536,                0.64881,                0.69443,                0.33751,                 1.8402,                 1.3388,                  2.475,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.5162,                 1.3783,                 2.0429,                0.70761,                0.63601,                0.72051,                0.34085,                 1.8274,                  1.391,                  2.487,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.4715,                 1.3784,                 1.9822,                0.69423,                0.66156,                0.73121,                0.36837,                 1.6915,                 1.3298,                 2.3146,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.4236,                 1.3133,                 1.9562,                0.68021,                0.79086,                  0.769,                0.39311,                 1.6954,                 1.2968,                 2.3227,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4289,                 1.3115,                 1.9711,                0.71483,                0.67695,                0.71089,                0.37277,                 1.7605,                 1.3546,                 2.3918,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.4222,                  1.269,                  1.943,                 0.7022,                0.64508,                0.71586,                0.36732,                 1.7804,                 1.3255,                 2.4349,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.4304,                 1.2753,                 1.9458,                0.67596,                0.75725,                0.77118,                0.39241,                 1.7385,                 1.2361,                 2.3793,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.4384,                 1.2884,                 1.9715,                0.67735,                0.72777,                0.74881,                0.36405,                 1.7992,                 1.2384,                 2.4643,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.4301,                 1.2527,                 1.9638,                0.72302,                0.69317,                0.76636,                0.39669,                  1.786,                 1.2211,                 2.4078,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.3944,                 1.2392,                 1.9169,                 0.7062,                0.81602,                0.79755,                0.40345,                 1.7494,                 1.2156,                 2.3805,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.3804,                  1.245,                 1.9269,                0.73434,                0.72826,                 0.7702,                0.37916,                 1.8096,                 1.2203,                 2.4262,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.3547,                 1.2209,                  1.891,                0.74531,                0.68258,                0.74986,                0.39118,                 1.7784,                 1.1913,                  2.394,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.3888,                 1.2179,                  1.904,                0.76641,                0.73913,                0.79102,                0.43155,                 1.6628,                 1.1411,                 2.2838,             0.00072631,             0.00072631,             0.00072631
                     60,                   1.39,                 1.1805,                  1.927,                 0.7893,                0.71739,                0.79272,                0.40415,                 1.7771,                 1.1999,                 2.3918,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.3781,                 1.2018,                 1.8973,                0.66916,                0.77899,                0.74756,                0.39625,                 1.7405,                 1.1307,                 2.4031,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.3714,                 1.1658,                 1.8942,                0.78568,                0.73235,                0.78253,                0.39574,                  1.706,                 1.2208,                 2.3817,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.367,                 1.1943,                  1.891,                0.77038,                0.76812,                0.80281,                0.41002,                 1.7322,                 1.2236,                  2.344,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.3487,                 1.1583,                 1.8772,                 0.6634,                0.68841,                0.69356,                0.38389,                 1.6517,                 1.3136,                 2.2804,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.3197,                 1.1791,                 1.8329,                0.70276,                0.76141,                 0.7573,                0.40415,                 1.7744,                 1.1803,                 2.4117,             0.00062729,             0.00062729,             0.00062729
                     66,                  1.323,                 1.1801,                 1.8488,                0.75326,                0.69028,                0.72852,                0.37103,                 1.7868,                 1.2279,                 2.4736,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.3427,                 1.1275,                  1.872,                0.75871,                0.69986,                0.76482,                0.37514,                 1.7434,                 1.1861,                 2.4296,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.3577,                 1.1399,                  1.853,                0.70183,                0.78623,                0.77607,                0.41356,                 1.7243,                 1.1121,                  2.418,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3532,                   1.14,                 1.8619,                0.72957,                 0.7971,                  0.774,                0.41298,                 1.7456,                 1.1783,                 2.4367,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.3182,                 1.1011,                 1.8474,                0.80143,                0.67754,                0.79946,                0.41537,                 1.7611,                 1.1502,                 2.3978,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.3035,                 1.0814,                 1.8248,                0.78623,                0.72821,                0.80484,                0.42706,                 1.7764,                 1.0375,                 2.4563,             0.00052827,             0.00052827,             0.00052827
                     72,                  1.308,                 1.1037,                 1.8343,                0.83881,                0.73654,                0.83968,                 0.4313,                 1.7747,                 1.0678,                 2.4394,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.2806,                 1.0546,                 1.8208,                0.81374,                0.73733,                0.81855,                0.40563,                 1.8571,                 1.1059,                  2.531,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.2662,                 1.0443,                 1.8075,                 0.7716,                0.79663,                0.77425,                0.40144,                 1.7585,                 1.0574,                 2.4531,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.2762,                 1.0379,                 1.7971,                0.79403,                0.71377,                0.77688,                0.39575,                 1.8323,                 1.1646,                 2.4903,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.2729,                 1.0645,                 1.7857,                0.79859,                0.75077,                0.80716,                0.43497,                 1.7413,                 1.0831,                 2.4707,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.2815,                 1.0699,                 1.8003,                0.77656,                0.78905,                0.81127,                0.41645,                 1.8013,                 1.0524,                 2.4878,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.2506,                 1.0002,                 1.7678,                0.81595,                0.71014,                0.78658,                0.41755,                 1.8237,                 1.0561,                 2.4896,             0.00041275,             0.00041275,             0.00041275
                     79,                  1.262,                  1.021,                 1.7972,                0.76081,                0.73766,                0.78197,                0.41527,                 1.7071,                 1.0569,                 2.4011,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2413,                 1.0158,                 1.7735,                0.70386,                0.79075,                0.78163,                0.42767,                 1.8137,                 1.0892,                 2.5341,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.2249,                0.99099,                 1.7572,                0.78283,                0.69928,                0.79256,                0.41117,                  1.773,                 1.0849,                 2.4559,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.2246,                0.96185,                 1.7465,                0.73567,                0.71816,                 0.8036,                0.43563,                 1.7439,                 1.0776,                 2.4203,             0.00034674,             0.00034674,             0.00034674
                     83,                   1.22,                0.96963,                 1.7442,                0.80764,                0.73901,                0.79952,                0.40867,                  1.747,                 1.1094,                  2.428,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.223,                 0.9782,                 1.7787,                0.76864,                0.76449,                0.80874,                0.42755,                 1.7225,                 1.0471,                 2.4335,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1968,                0.95706,                 1.7243,                0.77186,                0.76223,                0.83713,                0.45518,                 1.6212,                 1.0483,                 2.3274,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2183,                0.98621,                 1.7421,                0.74749,                0.80349,                0.80618,                0.42528,                  1.735,                 1.0119,                 2.4497,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.1901,                0.95502,                 1.7266,                 0.7539,                0.79554,                0.80141,                0.42735,                 1.7482,                 1.0735,                  2.477,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.1883,                0.92849,                 1.6966,                0.76113,                0.76428,                0.80122,                0.44291,                 1.6744,                  1.071,                 2.4034,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.1856,                0.93854,                 1.7108,                0.82053,                0.75362,                0.83077,                0.43792,                 1.7146,                 1.0416,                 2.4708,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.1603,                0.89645,                 1.7049,                0.82127,                0.73796,                0.82653,                0.43551,                 1.7318,                 1.0777,                 2.4712,             0.00021471,             0.00021471,             0.00021471
                     91,                  1.069,                0.69362,                 1.6645,                0.83242,                0.72101,                0.82351,                0.45376,                  1.688,                 1.0143,                 2.4194,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0183,                0.66073,                 1.6318,                   0.75,                0.84357,                0.84227,                0.42932,                  1.767,                 1.0001,                 2.5341,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0375,                0.65712,                 1.6369,                0.78981,                0.73913,                0.81031,                0.43572,                 1.7179,                0.98133,                 2.5139,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0058,                0.64421,                 1.6241,                0.78066,                0.76466,                0.80664,                0.44275,                 1.7427,                 1.0046,                 2.5496,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0034,                0.63925,                 1.6124,                0.72707,                0.89353,                0.84413,                0.45008,                 1.7033,                0.99116,                 2.5004,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0006,                0.63507,                 1.6122,                0.75969,                0.81782,                0.82302,                0.44762,                 1.6939,                 1.0076,                 2.4822,             0.00011569,             0.00011569,             0.00011569
                     97,                0.98415,                0.62803,                 1.5827,                0.72723,                0.81159,                0.82552,                0.44592,                  1.703,                 1.0119,                 2.4667,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.96521,                0.60349,                 1.5732,                0.77376,                0.78382,                0.83997,                0.45315,                 1.6826,                 1.0131,                 2.4582,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.94804,                0.61241,                 1.5711,                0.69639,                0.83379,                0.82288,                0.44921,                 1.6852,                 1.0296,                 2.4607,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.94986,                0.60439,                 1.5629,                0.74104,                0.83333,                0.83506,                0.45298,                 1.6936,                 1.0121,                 2.4917,             4.9677e-05,             4.9677e-05,             4.9677e-05
